Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,APO-345,Done,Major,Setup password reset,-,-,0m,0m,1h 50m,1h 50m,,,,
Task,APO-360,Done,Critical,Add checkbox to mark std 5 only questions,-,-,0m,0m,1h,1h,,,,
Story,APO-361,Done,Major,As a std 4 parent I should be guided to evaluate what my child knows,2h,2h,0m,0m,6h 10m,6h 10m,"4 hours, 10 minutes","4 hours, 10 minutes",-208,-208
Task,APO-367,Done,Major,"Make it so that when a user is created and revenue cat is configured, the user is added to revenue cat",-,-,0m,0m,2h,2h,,,,
Bug,APO-369,Done,Blocker,Can't add a new entitlement to user after cancelling previous entitlement,-,-,0m,0m,1h 27m,1h 27m,,,,
Bug,APO-370,Done,Blocker,Submission overwritten,-,-,0m,0m,3h,3h,,,,
Story,APO-374,Done,Critical,As a parent I should get notified about the other Apollo functionality,-,-,0m,0m,2h,2h,,,,
Story,APO-377,Done,Major,As a student I should be able to retake a test,-,-,0m,0m,20m,20m,,,,
Task,APO-379,Done,Major,Add analytics,1h,1h,0m,0m,4h 23m,4h 23m,"3 hours, 23 minutes","3 hours, 23 minutes",-338,-338
Task,APO-380,Done,Major,Add fractions test to new users,-,-,0m,0m,20m,20m,,,,
Story,APO-381,Done,Major,I should be able to get information about schools so that I can make school selections,-,-,0m,0m,1d 5h,1d 5h,,,,
Story,APO-384,Done,Major,I should be able to pick essay type that I want to practice,-,-,0m,0m,1h 30m,1h 30m,,,,
Story,APO-385,Closed,Major,I should be able to upload my essay to get it marked,-,-,0m,0m,3h 45m,3h 45m,,,,
Bug,APO-393,Closed,Critical,Getting 500 when using the practice more like this functionality,-,-,0m,0m,2h,2h,,,,
Task,APO-356,Done,Major,Add table showing the breakdown of questions by strand,2h,2h,2h,2h,-,-,-,-,0,0
Story,APO-270,Done,Critical,I should be able to pay for subscription,-,-,-,-,-,-,,,,
Task,APO-307,Done,Major,Make it so that if a quota is not met for a section or query it is re-run without the student id,-,-,-,-,-,-,,,,
Story,APO-309,Done,Blocker,As a parent I should be able to mark an answer as correct,-,-,-,-,-,-,,,,
Task,APO-316,Done,Major,Add terms and conditions and privacy policy,-,-,-,-,-,-,,,,
Bug,APO-344,Closed,Major,Re-grading exercise causes the answers to disappear when complete,-,-,-,-,-,-,,,,
Story,APO-346,Done,Blocker,As an admin I should be able to create an exercise,-,-,-,-,-,-,,,,
Bug,APO-357,Closed,Major,Section 2 does not have the correct total sometimes,-,-,-,-,-,-,,,,
Story,APO-362,Done,Major,As a std 4 parent I should be able to assign exercises to my child that they should be able to complete,-,-,-,-,-,-,,,,
Task,APO-363,Done,Major,Make it so that when the user creates an exercise they are taken to the home screen to see assigned work,-,-,-,-,-,-,,,,
Task,APO-364,Done,Minor,Make it so that when you edit a question it goes back to the last page you were on,-,-,-,-,-,-,,,,
Bug,APO-365,Done,Major,Evaluation test has all Qs in one section,-,-,-,-,-,-,,,,
Task,APO-366,Done,Major,Make it so that the parent exercise name shows in the list for copied exercise,-,-,-,-,-,-,,,,
Task,APO-368,Closed,Major,Creating a child with the same email address a parent doesn't show an error,-,-,-,-,-,-,,,,
Bug,APO-371,To Do,Major,Order of sub parts is incorrect,-,-,-,-,-,-,,,,
Bug,APO-372,Done,Major,First 6 questions wasn't saved,-,-,-,-,-,-,,,,
Bug,APO-373,Closed,Major,Answers not being saved,-,-,-,-,-,-,,,,
Story,APO-386,Closed,Major,I should be able to view sample essays at the end,-,-,-,-,-,-,,,,
Bug,APO-394,Closed,Critical,Can't Mark answer correct,-,-,-,-,-,-,,,,
Task,APO-395,In Review,Major,Improve analytics to track buyer journers,-,-,-,-,-,-,,,,
Story,APO-396,Done,Critical,As a parent I should not be able to add more than 1 student,-,-,-,-,-,-,,,,
Bug,APO-397,Done,Major,Narrative questions showing in report question list,-,-,-,-,-,-,,,,
Task,APO-398,To Do,Major,Add a conspicuous subscription button to the main menu,-,-,-,-,-,-,,,,
Bug,APO-399,To Do,Major,Cut off scores from 2017 is what is showing on the tool,-,-,-,-,-,-,,,,
Task,APO-400,Closed,Major,Update subscription screen to get rid of mention of math,-,-,-,-,-,-,,,,
,,,,Total,5h,5h,2h,2h,5d 2h 45m,5d 2h 45m,"4 days, 7 hours, 45 minutes","4 days, 7 hours, 45 minutes",-795,-795
