Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,APO-63,Done,,create endpoint for getting polls,3h,3h,39m,39m,2h 21m,2h 21m,0 minutes,0 minutes,0,0
Task,APO-95,Done,Major,Generate GUID/UID on app install,3h,3h,40m,40m,2h 20m,2h 20m,0 minutes,0 minutes,0,0
Task,APO-111,Done,Major,Create action and hook up functionality for voting on a poll,6h,6h,40m,40m,5h 20m,5h 20m,0 minutes,0 minutes,0,0
Task,APO-97,Done,Major,Create action for retrieving poll results,3h,3h,41m,41m,2h 19m,2h 19m,0 minutes,0 minutes,0,0
Task,APO-69,Done,,setup accountApi repository,2h,2h,44m,44m,1h 16m,1h 16m,0 minutes,0 minutes,0,0
Task,APO-104,Done,Major,test command,1h,1h,50m,50m,10m,10m,0 minutes,0 minutes,0,0
Task,APO-83,Done,Major,Get Landing page on weflow,2h,2h,1h,1h,1h,1h,0 minutes,0 minutes,0,0
Task,APO-86,Done,Major,Update system architecture doc,1h,1h,1h,1h,-,-,-,-,0,0
Task,APO-89,Done,Major,Setup Poll mock server,1h,1h,1h,1h,-,-,-,-,0,0
Task,APO-16,Done,Blocker,setup pollApi repository,2h,2h,1h 3m,1h 3m,57m,57m,0 minutes,0 minutes,0,0
Task,APO-82,Done,Major,Add Image to question,3h,3h,1h 15m,1h 15m,1h 45m,1h 45m,0 minutes,0 minutes,0,0
Task,APO-70,Done,,create interface for account storage,2h,2h,1h 40m,1h 40m,20m,20m,0 minutes,0 minutes,0,0
Task,APO-10,Done,Blocker,"setup aws amplify for facebook login, google login",4h,4h,1h 58m,1h 58m,2h 2m,2h 2m,0 minutes,0 minutes,0,0
Task,APO-12,Done,Blocker,setup boilerplate react native project,2h,2h,2h,2h,-,-,-,-,0,0
Task,APO-29,Done,Blocker,create action for creating poll,6h,1d 6h,2h,2h,1d 1h 32m,5d 2h 21m,"5 hours, 32 minutes","3 days, 6 hours, 21 minutes",-92,-216
-> Sub-task,APO-93,Done,Major,-> Save Poll image using image poll endpoint,4h,,0m,,3d 2h 43m,,"2 days, 6 hours, 43 minutes",,-567,-567
-> Sub-task,APO-94,Done,Major,-> Store Poll using Enpoint,4h,,0m,,6h 6m,,"2 hours, 6 minutes",,-52,-52
Task,APO-87,Done,Major,Spec out Results,2h,2h,2h,2h,-,-,-,-,0,0
Task,APO-108,Done,Major,Mock up the walk through,2h,2h,2h,2h,-,-,-,-,0,0
Task,APO-112,Done,Major,Display results when poll vote is registered,1d,1d,2h 47m,2h 47m,5h 13m,5h 13m,0 minutes,0 minutes,0,0
Task,APO-99,Done,Major,Create View for Image poll results,6h,6h,2h 51m,2h 51m,3h 9m,3h 9m,0 minutes,0 minutes,0,0
Task,APO-22,Done,,create a spec for the create poll api in swagger,6h,6h,6h,6h,-,-,-,-,0,0
Task,APO-92,Done,Major,Work on Image server,3d,3d,1d,1d,2d 1h 47m,2d 1h 47m,"1 hour, 47 minutes","1 hour, 47 minutes",-7,-7
Task,APO-77,Done,Major,01/30/3019 Misc LittleApollo,-,-,-,-,-,-,,,,
,,,,Total,4w 1d 7h 30m,4w 1d 7h 30m,5d 2h 53m,5d 2h 53m,7w 8m,7w 8m,"3 weeks, 3 days, 3 hours, 31 minutes","3 weeks, 3 days, 3 hours, 31 minutes",-81,-81
