Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,WS-1895,Closed,Blocker,Update WeOS to support making endpoints MCP server compatible,-,-,-,-,-,-,,,,
Task,WS-1896,In Progress,Blocker,Add MCP Authorization and Authentication to MCP Server Library,-,-,-,-,-,-,,,,
Task,WS-1898,To Do,Major,Create an screen for managing permissions,-,-,-,-,-,-,,,,
Task,WS-1900,Closed,Blocker,Create WeOS Finance MCP,-,-,-,-,-,-,,,,
-> Sub-task,WS-1883,Done,Minor,-> Setup Domain Entities/Controllers/Receivers/Event Handlers based on ERD,-,,-,,-,,,,,
-> Sub-task,WS-1892,Done,Major,-> Create a way for the user's integrations to be retrieved,-,,-,,-,,,,,
-> Sub-task,WS-1893,Done,Major,-> Make it so that if the user doesn't have any integrations they are asked to add one,-,,-,,-,,,,,
Task,WS-1903,To Do,Major,Add support for Stripe,-,-,-,-,-,-,,,,
Task,WS-1904,To Do,Major,Integrate Plaid,-,-,-,-,-,-,,,,
Task,WS-1905,In Progress,Critical,Integrate Square,-,-,-,-,-,-,,,,
Task,WS-1907,To Do,Minor,Integrate Zohobooks,-,-,-,-,-,-,,,,
Task,WS-1908,To Do,Major,Integrate Shopify,-,-,-,-,-,-,,,,
Task,WS-1909,To Do,Major,Implement Bill.com Spend & Expense API,-,-,-,-,-,-,,,,
Task,WS-1910,In Progress,Blocker,Update IAM to use RDF domain entity setup,-,-,-,-,-,-,,,,
Task,WS-1911,To Do,Critical,Add the ability to manage agents and mpc permissions,-,-,-,-,-,-,,,,
Task,WS-1913,To Do,Major,Implement OAuth 2.0 Dynamic Client Registration Management,-,-,-,-,-,-,,,,
Task,WS-1925,To Do,Major,Setup WeOS Connection as the main mcp entry point,-,-,-,-,-,-,,,,
Task,WS-1944,In Progress,Critical,Add slack as a provider,-,-,-,-,-,-,,,,
Epic,WS-1951,To Do,Major,Create Workflows,-,-,-,-,-,-,,,,
Story,WS-1974,To Do,Major,As a user I should be able to add WeOS to a slack channel and give it permissions,-,-,-,-,-,-,,,,
Story,WS-1975,QA,Major,As a user I should be able to get information from WeOS,-,-,-,-,-,-,,,,
Story,WS-1977,In Progress,Blocker,As a user I should be able to message WeOS on Teams,-,-,-,-,-,-,,,,
Task,WS-1980,To Do,Critical,Make it so that JWT expiration could be configured via environment variables,-,-,-,-,-,-,,,,
Story,WS-1981,In Progress,Major,As a user I should be able to approve purchase order and sales orders via WeOS,-,-,-,-,-,-,,,,
Story,WS-2003,To Do,Major,I should be able to login with Apple ID,-,-,-,-,-,-,,,,
Task,WS-2020,Deploy to Production,Blocker,Add endpoint to mint JWT for slack bots,-,-,-,-,-,-,,,,
Improvement,WS-2032,To Do,Critical,Scope linking user to the 3rd party,-,-,-,-,-,-,,,,
Improvement,WS-2034,To Do,Major,Simplify the callbacks to handle linking slack and other user accounts,-,-,-,-,-,-,,,,
Improvement,WS-2036,To Do,Major,Switch to using more generic oauth library on front end,-,-,-,-,-,-,,,,
Improvement,WS-2040,To Do,Major,Make it so that the login endpoint returns a JSON response with the values needed,-,-,-,-,-,-,,,,
Story,WS-2047,To Do,Major,I should be able to integrate with GitHub,-,-,-,-,-,-,,,,
Story,WS-2048,To Do,Major,I should be able to integrate with Jira,-,-,-,-,-,-,,,,
Story,WS-2049,To Do,Major,I should be able to integrate with Hubspot,-,-,-,-,-,-,,,,
Story,WS-2050,To Do,Major,I should be able to integrate with slack,-,-,-,-,-,-,,,,
Story,WS-2051,To Do,Blocker,I should be able to share a connection with an account,-,-,-,-,-,-,,,,
Story,WS-2052,To Do,Blocker,I should be able to share my connection with a role,-,-,-,-,-,-,,,,
,,,,Total,2d 2h,2d 2h,4h,4h,1w 4d 11m,1w 4d 11m,"1 week, 2 days, 2 hours, 11 minutes","1 week, 2 days, 2 hours, 11 minutes",-412,-412
