Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Task,WS-1897,Closed,Blocker,Expand Netsuite functionality in capture service,-,-,0m,0m,2h,2h,,,,
Task,WS-1899,Deploy to Production,Critical,Make it so that when a user logs in with NetSuite they are prompted to enter their account id,-,-,0m,0m,1h,1h,,,,
Task,WS-1901,Done,Major,Create Finance Agent,-,-,0m,0m,7h 40m,7h 40m,,,,
Task,WS-1902,To Do,Major,Update WeOS app to use finance agent,-,-,0m,0m,30m,30m,,,,
Task,WS-1906,Closed,Blocker,Integrate Netsuite in Finance MCP Server,-,-,0m,0m,4h 30m,4h 30m,,,,
Task,WS-1912,In Progress,Blocker,Make it so that a user can mark a connection as shared in the account.,-,-,0m,0m,3h,3h,,,,
Task,WS-1940,QA,Critical,Create basic WeOS Slack App,0m,0m,0m,0m,4h,4h,4 hours,4 hours,,
Task,WS-1952,Closed,Blocker,Architect Agent App,-,-,0m,0m,6h,6h,,,,
Story,WS-2017,QA,Major,I should be able to create a purchase requisition from WeOS,-,-,0m,0m,3h 30m,3h 30m,,,,
Story,WS-2027,QA,Major,I should be able to search for the latest Bill of Materials Revision,-,-,0m,0m,2d 58m,2d 58m,,,,
Story,WS-2037,To Do,Blocker,As an account admin I should be able to add Salesforce as an integration,-,-,0m,0m,1d 1h 30m,1d 1h 30m,,,,
Improvement,WS-2039,In Progress,Blocker,Optimize OAuth Integration flow,6h,6h,0m,0m,1d 7h 8m,1d 7h 8m,"1 day, 1 hour, 8 minutes","1 day, 1 hour, 8 minutes",-152,-152
Task,WS-2041,QA,Major,Make agent that runs a tool and retries if no result or if there is an error,4h,4h,0m,0m,6h 40m,6h 40m,"2 hours, 40 minutes","2 hours, 40 minutes",-66,-66
Task,WS-2042,QA,Major,Make MCP return items in descending updated date as much as possible,-,-,0m,0m,1h 15m,1h 15m,,,,
Task,WS-2044,QA,Major,Create an agent that runs an algorithm until all steps are complete and there is a final result,4h,4h,0m,0m,5h,5h,1 hour,1 hour,-25,-25
Task,WS-2046,QA,Major,Make it so that the MCP does not return a next cursor if there are other results,-,-,0m,0m,1h 30m,1h 30m,,,,
Sub-task,WS-1958,To Do,Major,WS-1953 -> Create agent for creating a workflow,1h,1h,1h,1h,-,-,-,-,0,0
Task,WS-2004,QA,Major,Remove unused functionality from WeOS App,1h,1h,1h,1h,-,-,-,-,0,0
Story,WS-1976,In Progress,Major,I should be able to setup a notification for sales order/purchase order state updates,-,2h,-,2h,-,-,,-,,
-> Sub-task,WS-1888,To Do,Critical,-> Setup job scheduler to run alerts,2h,,2h,,-,,-,,0,0
-> Sub-task,WS-1891,To Do,Major,-> Setup Notification service,-,,-,,-,,,,,
Task,WS-1879,Closed,Blocker,Setup repo for WeOS Finance Agent,-,-,-,-,-,-,,,,
Story,WS-1880,To Do,Major,As an admin I should be able to connect Netsuite,-,-,-,-,-,-,,,,
Story,WS-1881,To Do,Blocker,I should be able to connect Quickbooks,-,-,-,-,-,-,,,,
Task,WS-1882,Closed,Major,Create ERD for Alert concepts,-,-,-,-,-,-,,,,
Story,WS-1884,Closed,Blocker,I should be able to create an alert that is triggered by an event,-,-,-,-,-,-,,,,
Story,WS-1885,To Do,Major,I should be able to create an alert that is evaluated on a schedule,-,-,-,-,-,-,,,,
Story,WS-1886,To Do,Major,I should be able to get recommended alerts,-,-,-,-,-,-,,,,
Story,WS-1887,To Do,Major,I should be able to pause alerts,-,-,-,-,-,-,,,,
Task,WS-1889,To Do,Major,Create function that evaluates alert,-,-,-,-,-,-,,,,
Task,WS-1890,To Do,Major,Make it so that alert evaluation does NOT pass data to the LLM,-,-,-,-,-,-,,,,
Task,WS-1894,To Do,Major,Make it so that if the user tries to do something and they are not logged in we prompt them to login,-,-,-,-,-,-,,,,
