Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,WS-95,Done,Major,WS-60 -> Update provider in manifest to be apideck,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-96,Done,Major,WS-67 -> Add ledger account mapping and update bill mapping,-,-,0m,0m,5h 30m,5h 30m,,,,
Sub-task,WS-97,Done,Major,WS-67 -> Handle nuisances with filters,-,-,0m,0m,1d 4h,1d 4h,,,,
Sub-task,WS-109,Done,Major,WS-60 -> Deployment,30m,30m,0m,0m,3h 10m,3h 10m,"2 hours, 40 minutes","2 hours, 40 minutes",-533,-533
Sub-task,WS-111,Done,Major,WS-60 -> Removed hardcoded credentials,1h,1h,0m,0m,2h,2h,1 hour,1 hour,-100,-100
Sub-task,WS-112,Done,Major,WS-61 -> Test Queries on Dev and staging,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,WS-113,Done,Major,WS-61 -> Update table formatting,-,-,0m,0m,2h,2h,,,,
Bug,WS-118,Done,Major,Log out loop,-,-,0m,0m,30m,30m,,,,
Sub-task,WS-127,Done,Major,WS-61 -> what is the checking balance as of 11/30/2023,30m,30m,0m,0m,2h 5m,2h 5m,"1 hour, 35 minutes","1 hour, 35 minutes",-316,-316
Sub-task,WS-128,Done,Major,WS-61 -> Getting balances for expense accounts,2h,2h,0m,0m,6h,6h,4 hours,4 hours,-200,-200
Sub-task,WS-129,Done,Major,WS-61 -> Get the trial balance as of a specific date,2h,2h,0m,0m,1d 5h 27m,1d 5h 27m,"1 day, 3 hours, 27 minutes","1 day, 3 hours, 27 minutes",-572,-572
Sub-task,WS-130,Done,Major,WS-61 -> Make account schema use balance sheet report or profit and loss endpoint,-,-,0m,0m,1d,1d,,,,
Sub-task,WS-157,Done,Major,WS-151 -> Update the assistant service to check if the python code returned a 401 or 403 response and if so then return the code to the app,1h,1h,0m,0m,3h 20m,3h 20m,"2 hours, 20 minutes","2 hours, 20 minutes",-233,-233
Sub-task,WS-158,Done,Major,WS-151 -> Update the app to have the user reauthorize the integration if the assistant service returned a 401 or 403,1h,1h,0m,0m,1h 20m,1h 20m,20 minutes,20 minutes,-33,-33
Sub-task,WS-161,Done,Major,WS-151 -> Update the integration service to return which integration threw the error response in the error message,1h,1h,0m,0m,2h 27m,2h 27m,"1 hour, 27 minutes","1 hour, 27 minutes",-145,-145
Task,WS-162,Done,Major,Switch to Quickbooks Prod,-,-,0m,0m,5h 9m,1d 59m,,,,
-> Sub-task,WS-164,Done,Major,-> Update the app to create a conversation for a user if the account service returns a 404,-,,0m,,1h 35m,,,,,
-> Sub-task,WS-174,Done,Major,-> Fix issue where the user's consumer_id is used for api deck even though they are using someone else's assistant,-,,0m,,2h 15m,,,,,
Sub-task,WS-163,Done,Major,WS-151 -> Update all resolver to return errors to the controller,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Bug,WS-185,Done,Major,Login issues,20m,20m,0m,0m,20m,20m,0 minutes,0 minutes,0,0
Sub-task,WS-197,Done,Major,WS-67 -> Fix error in quickbooks yaml file,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-200,Done,Major,WS-67 -> Update the table component to handle date columns,-,-,0m,0m,10m,10m,,,,
Sub-task,WS-207,Done,Major,WS-151 -> test on dev and staging,-,-,0m,0m,1h,1h,,,,
Sub-task,WS-208,Done,Major,WS-67 -> Test on dev,-,-,0m,0m,1h 25m,1h 25m,,,,
Sub-task,WS-211,Done,Major,WS-199 -> Setup sending invite from the app,-,-,0m,0m,2h 15m,2h 15m,,,,
Sub-task,WS-213,Done,Major,WS-212 -> Are there any journal entries in Dec?,-,-,0m,0m,2h 15m,2h 15m,,,,
Sub-task,WS-216,In Progress,Major,WS-212 -> How much did we spend on Auditing this year?,-,-,0m,0m,40m,40m,,,,
Sub-task,WS-218,Done,Major,WS-212 -> what is the A/P account balance?,-,-,0m,0m,40m,40m,,,,
Sub-task,WS-222,In Progress,Major,WS-212 -> Did we have any SPAC admin expenses last month?,-,-,0m,0m,45m,45m,,,,
