Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Story,To Do,Blocker,I should be able to share my connection with a role,-,-
Story,To Do,Major,I should be able to install a personal assistant,1d,7h 22m
Story,In Progress,Major,I should be able to setup a manufacturing cost assistant,-,5h 39m
 Subtask,Done,Major, Add schemas to the prompt,30m,1h 15m
 Subtask,Done,Major, Create the embeddings for the queries,6h,1d 5h 12m
 Subtask,Done,Critical, Update the query so that it removes duplicates and uses the data from the Shawline Facility,2h,5h 2m
 Subtask,In Progress,Major, What caused the change in value of inventory over the last week,-,2h 21m
Subtask,Done,Minor,  Update the homescreen to have updated tagline,-,10m
Subtask,Done,Minor,  Fix initial icon on the landing screen,1h,3h 30m
Subtask,Done,Minor,  Ensure all integrations have icons,30m,1h 30m
Subtask,Done,Major,  Redirect back to the main chat after installing integration,10m,10m
Subtask,Done,Major,  Make message input smaller,1h 30m,2h 20m
Subtask,Done,Major,  Update the UI to send the query parameters to the subresouce page,-,1h
Subtask,Done,Major,  Update the google calendar package to have subscribe and unsubscribe handlers,-,5h
Subtask,Done,Major,  Update Setup subscription handler on the Account Service,-,2h
Subtask,Done,Major,  Setup Netsuite Provider in IAM,1h,3h 38m
Subtask,Done,Major,  Create graphQL schema,30m,3h 53m
Subtask,Done,Major,  Add netsuite integration,2h,3h 49m
Subtask,Done,Major,  Update graphql controller to pass the id_token in the request,-,20m
Subtask,Done,Major,  Update grapql controller to handle multiple calendars,-,2h
Subtask,Done,Major,  Update schemas to match the assistant,30m,30m
Subtask,Done,Major,  Clean up mappings stuff,-,1h
Subtask,Done,Major,  Update the logo on the homescreen to higher res version,-,30m
Subtask,Done,Major,  Update the images for the assistants to high res images,-,2h
Subtask,Done,Major,  Make it so that if item have idtitlename render those columns first,-,1h
Subtask,Done,Major,  Deploy to staging,-,1h
Bug,Done,Major,Error being returned from the app when a workflow has no steps,-,1h 10m
Subtask,Done,Major,  Update mappings,-,1h
Subtask,Done,Major,  Make it so that the table can render nested fields,-,2h
Subtask,Done,Major,  Update assistant manifest with new images,-,1h
Bug,Done,Major,Error unexpected response from assistant service when creating manu asst,-,15m
Subtask,Done,Major,  Add endpoint on the integration to valid integration jwt token,10m,10m
Subtask,Done,Major,  Create command handler to pull the assistant and check if specific integrations exist,2h,2h 10m
Subtask,Done,Major,  Return errors,10m,10m
Subtask,Done,Major,  Add notification bar to the top of chat container,2h,3h 30m
Bug,QA,Minor,Square install not working,-,30m
Subtask,Done,Major,  Update Iam to return expires property,30m,1h 24m
Bug,Done,Blocker,When the user has access to both prod and sandbox on Nesuite they are redirected to prod during OAuth,-,23m
Subtask,Done,Major,  Show me the accounts with the largest variances compared to the previous month,2h,3h 28m
Subtask,Done,Major,  Are there expenses accounts with a credit balance,2h,6h 55m
Subtask,Done,Major,  Can you identify any duplicate transactions in the last quarter,2h,3h
Subtask,Done,Major,  Are there any roundsum entries in the major expense accounts,2h,2h
Subtask,Done,Major,  Create embeddings for queries and test,-,1h 15m
Subtask,Done,Major,  Update IAM to work with apideck as a provider,-,5h 35m
Subtask,Done,Major,  Add filters for balance sheets,-,1h 30m
Subtask,Done,Major,  Update provider in manifest to be apideck,-,1h
Subtask,Done,Major,  Add ledger account mapping and update bill mapping,-,5h 30m
Subtask,Done,Major,  Handle nuisances with filters,-,1d 4h
Subtask,Done,Major,  Deployment,30m,3h 10m
Subtask,Done,Major,  Removed hardcoded credentials,1h,2h
Subtask,Done,Major,  Test Queries on Dev and staging,2h,2h
Subtask,Done,Major,  Update table formatting,-,2h
Bug,Done,Major,Log out loop,-,30m
Subtask,Done,Major,  what is the checking balance as of 11302023,30m,2h 5m
Subtask,Done,Major,  Getting balances for expense accounts,2h,6h
Subtask,Done,Major,  Get the trial balance as of a specific date,2h,1d 5h 27m
Subtask,Done,Major,  Make account schema use balance sheet report or profit and loss endpoint,-,1d
Subtask,Done,Major,  Update the assistant service to check if the python code returned a 401 or 403 response and if so then return the code to the app,1h,3h 20m
Subtask,Done,Major,  Update the app to have the user reauthorize the integration if the assistant service returned a 401 or 403,1h,1h 20m
Subtask,Done,Major,  Update the integration service to return which integration threw the error response in the error message,1h,2h 27m
Task,Done,Major,Switch to Quickbooks Prod,-,5h 9m
 Subtask,Done,Major, Update the app to create a conversation for a user if the account service returns a 404,-,1h 35m
 Subtask,Done,Major, Fix issue where the users consumer_id is used for api deck even though they are using someone elses assistant,-,2h 15m
Subtask,Done,Major,  Update all resolver to return errors to the controller,2h,2h
Bug,Done,Major,Login issues,20m,20m
Subtask,Done,Major,  Fix error in quickbooks yaml file,-,1h
Subtask,Done,Major,  Update the table component to handle date columns,-,10m
Subtask,Done,Major,  test on dev and staging,-,1h
Subtask,Done,Major,  Test on dev,-,1h 25m
Subtask,Done,Major,  Setup sending invite from the app,-,2h 15m
Subtask,Done,Major,  Are there any journal entries in Dec,-,2h 15m
Subtask,In Progress,Major,  How much did we spend on Auditing this year,-,40m
Subtask,Done,Major,  what is the AP account balance,-,40m
Subtask,In Progress,Major,  Did we have any SPAC admin expenses last month,-,45m
Subtask,Done,Major,  how much do I owe grammarly,-,5h 5m
Task,QA,Critical,Preprocess Queries before making embedding,-,2h
 Subtask,Done,Major, Create link for Getting embeddings that uses the LLM to normalize query,1h,1h 26m
Subtask,To Do,Major,  Testing on dev,-,1h 45m
Subtask,Done,Major,  Update provider to be quickbooks,-,10m
Subtask,Done,Critical,  Setup Account Mapping and filters,-,46m
Subtask,Done,Major,  Update resolver to use the realm id,-,10m
Subtask,Done,Major,  create a share assistant handler on the account service,2h,6h 34m
Subtask,Done,Major,  Update the share assistant handler to fetch the user by email from IAM and if the user does not exist then create a user and account with that email,10m,20m
Subtask,Done,Major,  update the account validation middleware so that a user would only be able to message a shared assistant,1h,1h 30m
Subtask,Done,Major,  update the account validation middleware so that the assistant owner can manage all the shared assistants,1h,1h 5m
Subtask,Done,Major,  update the app to disable the install and delete buttons on an assistant if its shared,-,45m
Subtask,Done,Major,  update the handlers to check if an assistant is shared before making a token request to IAM and if so then use the parent account ID on the assistant to get the token,1h,1h
Subtask,Done,Major,  create a event handler that would update all the shared assistants when the parent assistant is updated,1h,2h
Subtask,Done,Major,  create an even handler that would delete all the shared assistants when the parent assistant is updated,1h,3h 7m
Subtask,Done,Major,  create a social connection in auth0 for WeOS,-,33m
Subtask,Done,Major,  fix issue with microsoft login throwing an error see comment,-,1h 43m
Subtask,Done,Major,  Investigate Transaction endpoint to see if it fits our use case,-,1h 30m
Subtask,In Progress,Critical,  What is in checking account 8048,20m,30m
Subtask,Done,Major,  Is there anything in deferred tax assets,20m,20m
Subtask,Done,Major,  What is the balance that is due from Trajectory Capital LLC,40m,20m
Subtask,In Progress,Major,  How much SPAC expenses were there in the first quarter,-,2h 13m
Subtask,In Progress,Major,  What is my Other Income amount for the full year,45m,50m
Subtask,Done,Major,  How much is the Miscellaneous Expense for the year,-,45m
Subtask,Done,Major,  create event handler that would createupdate sub resources on the shared assistant integration when the parent is updated,1h 15m,1h 20m
Task,Done,Major,Add a data tag to the message input to make it easier to target in Selenium tests,10m,10m
Subtask,Done,Major,  update app to handle install url with assistantId as a query parameter,-,1h 40m
Subtask,Done,Major,  update IAM to sort the list of users in descending order,-,26m
Subtask,Done,Major,  update integration service to use the owner id to get iam token if its a shared assistant,-,1h 45m
Task,Done,Major,Improve retrieval by adding more context to embeddings,2h,7h 30m
 Subtask,Done,Critical, Update RAG pipeline to generate and use Algorithms for retrieval,-,1h
Subtask,Done,Major,  test on dev,-,1h 30m
Subtask,Done,Major,  hook up removing a shared user,1h,1h 45m
Subtask,Done,Major,  Deploy to Staging,-,15m
Subtask,Done,Major,  set up the invite status,-,6h 5m
Subtask,Done,Major,  Investigate the General Ledger,-,2h 40m
Bug,Done,Major,Fix delete handler on the other services,-,30m
Task,Done,Critical,Use fuzzy search for like queries,-,45m
 Subtask,Done,Major, Experiment with httpsgithubcomrapidfuzzRapidFuzz,-,3h
 Subtask,Done,Major, Experiment with httpsgithubcomlithammerfuzzysearch,-,2h
 Subtask,Done,Major, Compare experiments,-,45m
