Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Bug,Done,Critical,Context cancelled error from the account service,-,7h 49m
Bug,Done,Major,Loss of context in Notifications Chat,-,4h 52m
Bug,Done,Minor,Alerts on prod returning null responses in Langfuse,-,2h 50m
Subtask,Done,Major,  Add third column to insight screen,10m,20m
Subtask,Done,Major,  Render recommend alerts from the insight object,45m,2h 45m
Subtask,Done,Major,  Validate 10 alerts and add them to the recommend alerts,3h,4h 15m
Subtask,Done,Major,  Change snooze icon to pause icon,10m,15m
Subtask,Done,Major,  update update notification event handler to check if read property is set to true and set the alert trigger to be false,2h,2h 30m
Bug,Reopened,Minor,LLM hallucinating when there is no report data,-,3h 5m
Subtask,Done,Major,  create a provider that would run the profit and loss igniter that would run on a daily schedule and call the profit and loss igniter based on the created date,1h 30m,2h 31m
Subtask,Done,Major,  Create a provider that would run on a monthly schedule and trigger the profit and loss igniter for all accounts,1h 30m,1h 40m
Subtask,Done,Major,  update the igniter params to take in a start and end date and use this to determine which reports to get,30m,1h 10m
Subtask,Done,Major,  Create a provider that would create the m2m token and add it to the container,1h 30m,1h 36m
Subtask,Done,Major,  setup custom scheme in app builds,5h,5h
Subtask,Done,Major,  setup app to listen for redirects to that custom scheme,30m,30m
Subtask,Done,Major,  test build on httpsionicioappflow,1h,1h
Subtask,Done,Major,  create native auth0 application,30m,30m
Subtask,Done,Major,  install capacitor and relevant packages,30m,3h
Subtask,Done,Major,  create list of recommended alerts on that alert service,30m,1h
Subtask,Done,Major,  update the schedule provider to fetch add the recommended alerts to the insight when it is made active,1h,6h 58m
Bug,Done,Major,LLM returned wrong revenue no though it had the correct reports,-,50m
Bug,Done,Critical,Error when editing alert,45m,53m
Task,Done,Critical,Add create alert button to manage alert screen,30m,40m
Bug,Done,Major,Daily sparks not showing up,-,2h 45m
Subtask,Done,Major,  update delete notification event handler to set the alert to inactive,30m,30m
Bug,Done,Major,Alerts arent setup if the LLM got the correct response but the Python failed,-,1h 10m
Bug,Done,Major,Queries needing more than two reporting periods not working,-,1h 53m
Story,To Do,Critical,I should be able to get sparks and recommended readings based on my business info,-,30m
Subtask,Done,Major,  Setup fastlane for playstore,6h,6h
Story,Done,Minor,I should be able to easily report errors and crashes,-,30m
 Subtask,Done,Major, Add report button to error messages,-,45m
 Subtask,Done,Major, Add a handler to the feedback service to create issue in jira,-,1h
 Subtask,Done,Major, update slack message template,-,1h
Story,Done,Major,I should be able to easily rate the app,10m,1h 55m
 Subtask,Done,Major, Add remote config variable in_app_review,10m,10m
 Subtask,Done,Major, install capacitorcommunityinappreview,-,10m
 Subtask,Done,Major, Trigger in app review based on the value of in_app_review and if all notifications have been read,45m,45m
Task,Done,Minor,Add a guided tour of WeOS that highlights sparks and signals,-,1h 10m
 Subtask,Done,Major, Add checks to ensure that the tour starts after quickbooks is connected,20m,1h
 Subtask,Done,Major, Install driverjs,10m,10m
 Subtask,Done,Major, Add ids to elements so they can be reference,20m,20m
 Subtask,Done,Major, Create highlight for each element,1h 30m,1h 30m
 Subtask,Done,Major, Add each highlight to driver steps,20m,20m
Subtask,Done,Major,  Create and setup Goal Service,2h,1h 40m
Subtask,Done,Major,  Create an initialiser that would fetch and create all the default Goals,1h,2h 10m
Subtask,Done,Major,  Replace Alerts with Signals through the app,30m,30m
Subtask,Done,Major,  Update the front end to create a goal resource when the user selects a goal,-,1h 30m
Subtask,Done,Major,  create a batch setup endpoint on the alert serrvice,15m,20m
Subtask,Done,Major,  create a handler on the alert service that would loop through all the alerts associated with a goal and create it under the account,1h 30m,4h 27m
Subtask,Done,Major,  create a list of recommended alerts for each goal on the alert servce,3h,5h 15m
Subtask,Done,Major,  Add a goal property to the alerts,15m,35m
Story,To Do,Critical,I should be able to purchase a subscription,-,1h
Subtask,Done,Major,  Install capacitor push notifications,-,1h
Subtask,Done,Major,  Setup prompt so that user can allow push notifcations,2h,2h
Subtask,Done,Major,  Update the alert service to check the subscription status and only run the python code based on that,-,1h 55m
Subtask,Done,Major,  Add push notification listeners,2h,2h
Subtask,Done,Major,  Add Firebase Admin SDK to the alert service,-,1h 7m
Task,Done,Major,When the LLM sets a signal to run every hour change it to every day instead,-,55m
Subtask,Done,Major,  Add prompt when for canceling subscription,30m,45m
Subtask,Done,Major,  Deploy to dev,1h,1h
Subtask,In Progress,Major,  Setup inappproducts for android and ios,1h,1h 15m
Subtask,Done,Major,  Install revenuecatpurchasescapacitor and configure in appvue,30m,30m
Subtask,Done,Major,  Get offerings using sdk and render them,2h,2h 10m
Subtask,Done,Major,  Setup purchase package function using the sdk,2h,5h 15m
Subtask,Done,Major,  Create revenue cat api key,10m,45m
Subtask,Done,Major,  Add splash screen,1h,1h 30m
Subtask,Done,Major,  Configure QuickBooks redirect depending on the platform,1h 30m,2h
Subtask,Done,Major,  Add push notification registration function to AppDelegateswift,1h 10m,1h
Subtask,Done,Major,  Add fire base sdk to pod file,45m,1h 45m
Subtask,Done,Major,  Configure the sdk to use the account id as the user app id,30m,30m
Subtask,Done,Major,  create a webhook that would send real time subscription updates to IAM,-,15m
Subtask,Done,Major,  create an endpoint on the IAM service to accept to subscription updates,-,30m
Subtask,Done,Major,  create a handler on IAM to save the subscription status on the user,-,2h 30m
Subtask,Done,Major,  update the auth0 action to add the subscription status to the jwt,-,40m
Subtask,Done,Major,  Add option for push notification on the sidebar,45m,1h
Task,Done,Blocker,Update IAM so that there is a idempotent endpoint for Auth0 actions to use,-,2h 30m
 Subtask,Done,Major, create an accounts schema on the IAM service,-,30m
 Subtask,Done,Major, Update the auth0 action to fetch a user by auth ID,-,1h 30m
 Subtask,Done,Major, Create a handler on IAM service to create the user and account if the user does not exist,-,2h 40m
 Subtask,Done,Major, Create an event handler on the IAM service to create an account and user resource on the Account Service,-,1h 30m
 Subtask,Done,Major, Depreciate the create account and user handlers on the Account service,-,30m
 Subtask,Done,Major, remove the create account flow from the callback in the APP,-,15m
Bug,Done,Critical,Logout Leads to Log in Loop,-,30m
Subtask,Done,Major,  create a handler that would delete the user account and connection from the database,-,1h 20m
Subtask,Done,Major,  create an event handler that would delete the account and user on the account service alert service and insight service,-,2h 28m
Subtask,Done,Major,  add a delete account button to the app,-,10m
Subtask,Done,Major,  Update the app to make a request to the IAM service to delete the account,-,20m
Subtask,Done,Major,  Add a validation middleware to IAM to ensure that the user can only delete their account,-,30m
Subtask,Done,Major,  update the delete alert handler on the alert service to delete all the alerts associated with an account,-,30m
Subtask,Done,Major,  Add a delete endpoint and handler to the insight service,-,2h
Task,Done,Major,Create a staging environment for IAM,-,2h
 Subtask,Done,Major, create all the applications in auth0 staging tenant,-,1h 40m
 Subtask,Done,Major, Update all the services to use the staging credentials,-,1h 30m
 Subtask,Done,Major, Update all the services on staging to point to IAM on staging,-,35m
 Subtask,Done,Major, remove environment code from the IAM service,-,1h
Subtask,Done,Major,  create the basic alerts for each goal,-,1h
Subtask,Done,Major,  update the get user handler in IAM to fetch the invite code and add the user to the account,2h,3h 58m
Subtask,Done,Major,  Update the create user hander in IAM to create the user and not the account if an invite code is set,-,2h 7m
Subtask,Done,Major,  create an endpoint and handler that would get last years value based on the goal,-,3h 44m
Subtask,Done,Major,  update the frontend to fetch the list of goals,-,30m
Subtask,Done,Major,  Update the front end to hit the target endpoint and render message when the user selects a goal,-,45m
Subtask,Done,Major,  update the profit and loss prompt to get the LLM to identify the trends and trajectory for the current year,-,1h
Subtask,Done,Major,  create an igniter that would compare the profit and loss trends from the year and the current year and generate insights,-,30m
Bug,Done,Major,When notifications are read the notification in the menu is not updated,4h,5h
 Subtask,Done,Major, updated the alert service update the notification instead of creating a new one for existing notifications,-,42m
Subtask,Done,Major,  Create connection QuickBooks screen,-,30m
Subtask,Done,Major,  Update setup assistants function to return to the onboarding flow after quickbooks is conneted,-,30m
Subtask,Done,Major,  Create goal screens,-,2h
Subtask,Done,Major,  create a job that would run the igniters on a monthly and daily schedule,-,10m
Bug,Done,Blocker,When jwt token expires users are stuck in a login loop,-,1h
Bug,Done,Blocker,No Notifications on Android,-,4h
Story,To Do,Major,As a user I should be able to disable push notifications,-,30m
Task,Done,Minor,Add Sparks page header on mobile,-,20m
Bug,Done,Major,Error logging out,2h,2h 45m
Bug,Done,Major,Connect QB Prompt persists,-,1h
Improvement,Done,Major,Can we use Seasonal and Trend decomposition using LOESS STL to identify seasonal changes trends and residual values,-,2h 15m
Improvement,In Progress,Major,Can we use recurring invoicesbills to improve STL decomposition analysis,-,4h 30m
Improvement,Done,Major,Will using a different predictive model per account improve the accuracy of the forecasting,-,1d 10m
Task,Reopened,Minor,Add Facebook SDK to mobile apps,1h,1h 30m
Subtask,Done,Major,  add an endpoint and handler to IAM that would return true if a connection is found,-,25m
Subtask,Done,Major,  set up deleting a goal,-,1h 15m
Subtask,Done,Major,  Update the comparison igniter to compare this month and last months profit and loss reports and generate insights,-,35m
Subtask,Done,Major,  add documentation to the insight service,-,2h 10m
Subtask,Done,Major,  Create settings screen,30m,30m
Subtask,Done,Major,  Add back cookie control module,1h,1h 30m
Subtask,Done,Major,  Migrate delete functionality to settings screen,30m,30m
Bug,Closed,Blocker,401 Error returned when I login the following day,-,1h
Subtask,Done,Major,  Create an Account Receivables Igniter,-,1h 20m
Subtask,Done,Major,  create an LLM Prompt that would generate an AR summary for an insight,-,40m
Subtask,Done,Major,  Add a method on the insight to get the YTD data for a report and return it in json format,-,3h 30m
Subtask,Done,Major,  Add a property on the insight to store the YTD information,-,5m
Subtask,Done,Major,  Add a questions schema to the insight service,-,30m
Subtask,Done,Major,  create a list of questions for the AR igniter,-,3h 25m
Subtask,Done,Major,  create an initializer that would create the questions for the igniter,-,30m
Subtask,Done,Major,  Update the AR handler to fetch the questions run the python code and create the insights,-,1h
Subtask,Done,Major,  Update the AR handler to store the parent ID for children insights,-,30m
Subtask,Done,Major,  Add a viewed property to the insights and set the property on all the children to false,-,10m
Subtask,Done,Major,  Install chart js,10m,10m
Subtask,Done,Major,  Render chart using data on the parent insight,1h 30m,1h 30m
Subtask,Done,Major,  Hook up learn more,45m,1h
Subtask,Done,Major,  Add follow up card that shows the child insight,45m,1h 45m
Subtask,Done,Major,  Add next spark button for mobile screen,30m,30m
Subtask,Done,Major,  Create an Account Payables Igniter,-,15m
Subtask,Done,Major,  create a list of questions with python code for AP insights,-,1d 2h
Subtask,Done,Major,  create a prompt that would generate an AP summary,-,5m
Subtask,Done,Major,  create a job that would run the AR igniter weekly for each account,-,15m
Subtask,Done,Major,  create a job that would run the AP igniter weekly,-,5m
Bug,Done,Major,A string can be entered for a goal target,-,20m
Subtask,Done,Major,  Configure Inapp Purchase Capability for IOS,30m,30m
Subtask,Done,Major,  set the default subscription in IAM to be free trail,-,40m
Subtask,Done,Major,  create a cron job that would update the status to Trial Expired after 30 days,-,40m
Subtask,Done,Major,  create prompt for user to subscribe,45m,45m
Subtask,Done,Major,  Add subscription status to the top navigation,10m,10m
Subtask,Done,Major,  create subscription page,45m,45m
Task,In Progress,Major,Yeet Kandji MDM off wepala systems,-,2h
 Subtask,Done,Major, remove mdm profile,-,15m
 Subtask,Done,Major, get paay admin to remove our devices from kandji,-,1h
Subtask,Done,Major,  add a middleware that would validate the request,-,30m
Subtask,In Progress,Major,  Setup store kit testing on ios,2h,1d 1h 30m
Task,Done,Critical,Remove old accounts from the alert service,-,2h 5m
Subtask,Done,Major,  Add subscription status to the top navigation,45m,1h
Subtask,Done,Major,  Add provider for FirebaseSDK,15m,15m
Subtask,Done,Major,  Push to Dev,30m,35m
Subtask,Done,Major,  Port the SendNotification function from the alert service to the insight service,10m,10m
Subtask,Done,Major,  Add event handler to trigger generation when the account is first created,20m,30m
Subtask,Done,Major,  Create endpoint to grandfather existing users,-,30m
Subtask,Done,Major,  Deploy to Dev,15m,30m
Subtask,Done,Major,  Figure out standard way to return data for front end to render graph,30m,20m
Subtask,Done,Major,  Move all the AR AP igniters into a separate file,-,8m
Subtask,Done,Major,  Add an endpoint to test the push notifications,-,15m
Subtask,Done,Major,  Install and setup capacitorfirebaseremoteconfig,45m,1h
Subtask,Done,Major,  Create screen to accept feedback from the user,1h 30m,1h 30m
Subtask,Done,Major,  Update the feedback service to store this feedback,1h 30m,1h 30m
Subtask,Done,Major,  Set up handler to push this feedback to slack,15m,44m
Subtask,Done,Major,  Setup restrictions in the app so that users cant perform destructive actions,1h,1h 15m
Subtask,Done,Major,  Check if the device id exists on the feedback service to determine if the user completed the demo form or not,30m,30m
Subtask,Done,Major,  Create demo_login as a remote config option,10m,10m
Subtask,Done,Major,  Conditionally render the demo link based on the demo_login value,10m,10m
Subtask,Done,Major,  Added an endpoint to IAM to update the subscription status,-,1h 15m
Subtask,Done,Major,  update the login title in auth0 to include the username and password for the demo account,-,10m
Subtask,Done,Major,  update the frontend to render new chart format,30m,45m
Bug,Done,Major,when i read a notification it scrolls the welcome page,30m,30m
Task,Done,Major,Wrap subscriptions behind feature flags,-,30m
 Subtask,Done,Major, hide the subscription screen based on a feature flag,45m,1h
 Subtask,Done,Major, hide insights based on the current condition and feature flag,1h,1h
 Subtask,Done,Major, add a way to disable subscriptions on the IAM service,-,1h 8m
 Subtask,Done,Major, set remote config to disable subscriptions,45m,1h
Subtask,Done,Major,  Add a provider for shopify,-,10m
Subtask,Done,Major,  Create a controller for verifying the installation request from shopify,-,2h 31m
Subtask,Done,Major,  Setup Shopify Connection in Auth0,30m,1h
Subtask,Done,Major,  add the auth0 callback url to the Shopify app,10m,10m
Subtask,Done,Major,  Add Shopify Service,2h,1d 2h 37m
Subtask,Done,Major,  Add screen for choosing plan,1h 30m,1h 50m
Subtask,Done,Major,  Confirm that we can pass in an account id on login to quickbooks to link to an existing account,-,15m
Subtask,Done,Major,  Update the auth0 action to pass in the account ID and add it to the JWT when the user connects quickbooks,1h,1h
Subtask,Done,Major,  Set the app url in the shopify partner dashboard,15m,15m
Subtask,Done,Major,  Deploy to Dev,2h,2h
Subtask,Done,Major,  Setup account resource for storing configuration,2h,1h 35m
Subtask,Done,Major,  Update weos default write controller to not allow users to create resources that arent children of their account,1h,-
Subtask,Done,Major,  Add mapping to Quickbooks integration to get list of classes,30m,-
Subtask,Done,Major,  Add method to shopify service to get orders,3h,1h
Subtask,Done,Major,  Add endpoint for getting list of orders,3h,2h
Bug,Closed,Major,Unable to update the status on the subscriptions in IAM,-,20m
Subtask,Done,Minor,  Update account list endpoint to return a specific type of account,2h,1h 30m
Subtask,Done,Major,  Setup mapping to get a list of customers from Quickbooks,30m,30m
Subtask,Done,Major,  Setup mapping to get productsservice from Quickbooks,1h,1h 15m
Subtask,Done,Major,  Add command receiver to preview order import given shopify order id,2h,-
Subtask,Done,Major,  Add shopify integration to integration service,1d,1d 2h
Subtask,Done,Major,  Add mapping to get disputes from shopify,2h,2h
Subtask,Done,Major,  Consolidate all weekly igniters cron jobs into one cron job,10m,10m
Subtask,Done,Major,  Add questions and related python code,1h,1h
Subtask,Done,Major,  Setup recognition screen on front end,1h,1h
Subtask,Done,Major,  create a callback handler that would create the shopify connection and create the user and account,-,3h 22m
Task,Done,Major,Wepala Website updates,5h,1d 1h 25m
Subtask,Done,Major,  Create job run the igniter on a weekly basis,5m,5m
Subtask,Done,Major,  Create Order Entity,2h,5h 13m
Subtask,Done,Major,  Create Product Entity,2h,2h
Subtask,Done,Major,  Create Customer Entity,1h,1h
Subtask,Done,Major,  Hook up UI for previewing and import,3h,4h 30m
Subtask,Done,Major,  Hook up performing an import,3h,3h 30m
Subtask,Done,Major,  Hook up order list UI,2h 30m,2h 30m
Subtask,Done,Major,  Add screen for shopify to be redirected to after app install,45m,45m
Subtask,Done,Major,  update the install URL handler in IAM to return the shopify auth URL,1h,1h
Subtask,Done,Major,  update integration service to get the shopify token from iam,30m,30m
Subtask,Done,Major,  create a wellknown endpoint and controller on the IAM service,-,35m
Subtask,Done,Major,  create an authorization endpoint and handler on the IAM service,-,30m
Subtask,Done,Major,  create a token endpoint and handler on the IAM service,-,1h
Subtask,Done,Major,  Add the auth to the security scheme,-,45m
Subtask,Done,Major,  add the JWKS endpoint and controller to the IAM Service,-,4h
Subtask,Done,Major,  add the WeAuth Security scheme to all the services,1h,2h
Subtask,Done,Major,  Initital Feedback,2h,3h 10m
Subtask,Done,Major,  Add endpoint to Feedback service to handle customer data request,45m,45m
Subtask,Done,Major,  Add endpoint to Feedback Service to handle customer erasure,45m,45m
Subtask,Done,Major,  Add endpoints to handler webhooks,1h 30m,1h 8m
Subtask,Done,Major,  Update all the shopify apps for the different environments with the webhook URL,1h,1h 13m
Subtask,Done,Major,  push updates to dev an test that all the services are working with the WeAuth token,1h 30m,1h 40m
Task,QA,Major,Find a way to generate m2m tokens using the WeAuth Service,-,1h 40m
Subtask,Done,Major,  Debug Issue in Profit and Loss Trend Igniter,-,1h
Subtask,Done,Major,  Write Test for Profit and Loss Trend Igniter,-,1h 30m
Subtask,Done,Major,  Write Test for Initial AR igniter,-,30m
Subtask,Done,Major,  Write Test for Initial Dispute Igniter,-,1h
Subtask,Done,Major,  Write Test for Weekly Dispute Igniter,-,20m
Subtask,Done,Major,  Write Test for get client Ids function,-,1h
Subtask,Done,Major,  Write Test for the Convert to Markdown Table function,-,15m
Subtask,Done,Major,  Write Test for Format Chart function,-,20m
Subtask,Done,Major,  Write Test for Generate to CSV String function,-,30m
Subtask,Done,Major,  Write Test for Set YTD function,-,1h
Subtask,Done,Major,  Write Test for Set CEI function,-,30m
Subtask,Done,Major,  make it so that the connection ID is stored on the insights when creating the shopify insights,1h,1h
Subtask,Done,Major,  update the IAM handler to verify that the request is from shopify,1h 30m,1h 10m
Subtask,Done,Major,  Deploy to staging,30m,30m
Subtask,Done,Major,  Feedback,-,2h 30m
Subtask,Done,Major,  Add utils file and corresponding functions to application layer,-,2h
Subtask,Done,Major,  Add utils file and corresponding functions to domain layer,-,30m
Subtask,Done,Major,  Add utils file and corresponding functions to infrastructure layer,-,20m
Subtask,Done,Major,  Update Set YTD function,-,5m
Subtask,Done,Major,  Update Set CEI function,-,10m
Subtask,Done,Major,  Move scheduler to application layer,-,2m
Subtask,Done,Major,  Implement Get Embeddings function in Infrastructure layer,-,15m
Subtask,Done,Major,  Implement CreateChatCompletion in the infrastructure layer,-,1h
Subtask,Done,Major,  Add imports to application layer,-,1h
Subtask,Done,Major,  Move questionsjson to infrastructure layer,-,10m
Subtask,Done,Major,  Add ecommerce interface to service interfaces file in the domain package,-,2m
Subtask,Done,Major,  Add a component ShopifyService to the infrastructure layer that implements the ecommerce interface,-,3h 30m
Subtask,Done,Major,  Implement GetProfitAndLossByDate function,-,5m
Subtask,Done,Major,  Add implementation for quickbooks interface methods using integration service,-,40m
Subtask,Done,Major,  Implement GetBalanceSheetByDate function,-,1h
Subtask,Done,Major,  Implement GetAgedPayablesByDate function,-,5m
Subtask,Done,Major,  Implement GetAgedReceivablesByDate function,-,5m
Subtask,Done,Major,  Add a endpoint and handler that would copy over the demo account quickbooks token to the users account,1h 30m,1h
Subtask,Done,Major,  add a controller that would redirect users to the app with a JWT once the account is crated,1h 30m,1h 50m
Subtask,Done,Major,  add a demo account login to the shopify screen,2h,2h 30m
Subtask,Done,Major,  Stuck on loading screen while installing app,1h,1h 30m
Subtask,Done,Major,  add a handler to the IAM service that would create the default assistant and install the quickbooks integration,1h 30m,1h 55m
Subtask,Done,Major,  Update shopify igniters to pull directly from the shopify API,-,30m
Subtask,Done,Major,  Update python code for weekly disputes igniter to pull from shopify api,-,1h
Subtask,Done,Major,  Update python code for initial disputes igniter to pull from shopify api,-,5h
Subtask,Done,Major,  Add alert service component to infrastructure,-,1h
Subtask,Done,Major,  Move over tests from  ticket into this branch,-,40m
Subtask,Done,Major,  Initial Feedback,1h 30m,4h 50m
Subtask,Done,Major,  Update and refactor all igniters to use services and domain abstractions,-,3h
Subtask,Done,Major,  Update quickbooks api yaml and regenerate sdk,1h 30m,3h
Subtask,Done,Major,  Deploy to staging,30m,40m
Subtask,Done,Major,  Test on Dev,1h,3h 50m
Bug,Done,Major,Old Shopify tokens becomes invalid when a user opens the APP from a store,-,2h 42m
Subtask,Done,Major,  Create screens,3h,3h
Subtask,Done,Major,  Add function to fetch the shopify client ids from IAM,30m,30m
Subtask,Done,Major,  Add function to delete shopify token from IAM,30m,30m
Subtask,Done,Major,  Add function to add shopify store,30m,45m
Subtask,Done,Major,  Add function to refresh store,30m,45m
Subtask,Done,Major,  Update python code for AR igniters to pull data from igniter,-,3h
Subtask,Done,Major,  Wrtie code to pull and parse data to send to python code for AR Igniters,-,1h
Subtask,Done,Blocker,  add an endpoint on IAM to fetch the client IDs,1h,1h 10m
Subtask,Done,Major,  Debugging test,1h,1h
Subtask,Done,Major,  Hookup,3h,3h
Subtask,Done,Major,  Setup endpoint that returns a list of products,1h,1h 30m
Subtask,Done,Major,  Setup endpoint that returns a list of customers,2h,2h 10m
Subtask,Done,Major,  Convert python code to go code for AR igniters,-,3h 30m
Subtask,Done,Major,  Convert python code to go for initial dispute igniter,-,4h
Bug,Done,Major,Alert creation timing out,-,1h
Subtask,Done,Major,  Convert python code to go for initial AR igniter,-,3h
Subtask,Done,Major,  Convert python code to go for the weekly disputes igniter,-,1h
Subtask,Done,Major,  Convert the deferred payments python code to go for the AP igniter,-,40m
Subtask,Done,Major,  Update SetYTD Test,-,10m
Subtask,Done,Major,  QA Feedback 2,1h,50m
Subtask,Done,Major,  QA Feedback 3  User doesnt follow through with chosen plan,-,4h 15m
Subtask,Done,Major,  Setup endpoint to return a list of accounts from quickbooks,30m,30m
Subtask,Done,Major,  Create method to get order from shopify,30m,30m
Subtask,Done,Major,  Add endpoint for saving the configuration,2h,3h 25m
Subtask,Done,Major,  Create endpoint for creating an import,2h,1d 59m
Subtask,Done,Major,  Update screens based on feedback from francisakeem,5h,5h
Subtask,Done,Major,  Add endpoint for listing imports,1h,29m
Subtask,Done,Major,  Create endpoint to create a new customer,2h,3h 44m
Subtask,Done,Major,  Hook up revenue recognition,1h,1h 30m
Subtask,Done,Major,  Hook up saving order configuration,1h,1h
Subtask,Done,Major,  Hook up Saving Product config and Customer config,2h,2h
Subtask,Done,Major,  Add method and endpoint to get classes from quickbooks,1h,1h
Subtask,Done,Major,  Add default values for some configs,30m,-
Bug,Done,Major,Running out of m2m tokens on dev halfway through the month,-,52m
Subtask,Done,Major,  Add autocomplete to handle searches,2h,2h 10m
Subtask,Done,Major,  Hook up create customer,2h,2h
Subtask,Done,Major,  Setup Tax Mapping Config,1h,1h 27m
Subtask,Done,Major,  Hook up the configurationmapping ui,3h,4h 30m
Subtask,Done,Major,  Setup fee mapping config,1h,24m
Subtask,Done,Major,  Endpoint for shopify fees,2h,1h 35m
Subtask,Done,Major,  Hook up configuration,1h,1h 30m
Subtask,Done,Major,  Add endpoint for previewing and import,2h,1h 20m
Subtask,Done,Major,  Add select store screen and rework manage integrations,1h,1h
Subtask,Done,Major,  Add info about the status of import to list,2h,1h 15m
Bug,In Review,Major,Unable to select an alert on mobile,1h,1h 30m
Subtask,Done,Major,  update the go version and fix the dependencies,-,11m
Subtask,Done,Major,  Hook up filters,2h,2h
Task,Reopened,Blocker,Update child insights of weekly chargeback insight to show customer name and email,-,0m
 Subtask,Done,Major, update the python code on for the child insight to add the customer name and email to the list,1h 30m,2h
 Subtask,Done,Major, test on dev,30m,30m
Subtask,Done,Major,  Add section in settings to show the current subscription,3h 20m,3h 20m
Subtask,Done,Major,  Add endpoint to cancel a subscription,1h,5h 26m
Subtask,Done,Major,  Add payment status filter,2h,2h
Subtask,Done,Major,  Add fulfillment status filter,2h,2h 30m
Subtask,Done,Major,  Make it so that it prefilters the list of order based on the config,1h,2h
Subtask,Done,Major,  Dev review feedback,1h 30m,2h 17m
Subtask,Done,Major,  Update subscription service so that the interval is passed in when the plan is created,1h,1h 15m
Subtask,Done,Major,  Add endpoint to get subscriptions account has,1h,48m
Subtask,Done,Major,  Feedback,1h 30m,1h 45m
Subtask,Done,Major,  Dev review feedback,4h 30m,4h 30m
Subtask,Done,Major,  Update the config validation to check the preferences,2h,1h 26m
Subtask,Done,Major,  Update order list controller to filter by import status,1h,1h
Subtask,Done,Major,  Add the import status to the list of changes on the import,30m,10m
Subtask,Done,Major,  Hook up import button to hit the endpoint,45m,45m
Subtask,Done,Major,  Poll the import resource and update the list of items in the preview,2h,2h
Subtask,Done,Major,  Create endpoint for getting the list of payment options,2h,-
Subtask,Done,Major,  Pull the list of payment options from import service and populate the fields,1h,1h
Subtask,Done,Major,  Map fields to payout config,1h,1h
Subtask,Done,Major,  Render any errors after saving the config,30m,30m
Subtask,Done,Major,  Add endpoint to get list of payouts,3h,5h 37m
Subtask,Done,Major,  Update the list screen to have tabs at the top for orderspayouts,30m,30m
Subtask,Done,Major,  Pull the list of payout and update the table,2h,2h 30m
Subtask,Done,Major,  Create functions to handle filters for the payouts,2h,2h 30m
Subtask,Done,Major,  Create payment service interface for getting list of payouts,2h,-
Subtask,Done,Major,  Update Post method on import to handle payouts,1h,1h
Subtask,Done,Major,  Create function to undo the import,30m,30m
Subtask,Done,Major,  Poll the resource for updates and update the items,1h,1h
Subtask,Done,Major,  Add endpoint to undo import,4h,6h 5m
Subtask,Done,Major,  Render any errors that comes back,30m,30m
Subtask,Done,Major,  Setup keys in key manager,1h,1h 17m
Subtask,Done,Major,  Create test custom apps across all the environments for testing,1h,-
Subtask,Done,Major,  Add the ability to associate a custom install link to provider,2h,31m
Subtask,Done,Major,  Update array of errors to be objects with a property for info link,-,42m
Subtask,Done,Major,  Report that the import is not being deleted from the resource table,30m,-
Subtask,Done,Major,  Test subscription not working,-,2h 12m
Subtask,Done,Major,  update the subscription handler in IAM to use the graphql shopify endpoint,-,30m
Bug,Done,Major,Error Could not retrieve sparks,-,3h 5m
Subtask,Done,Major,  Switch to saving the id of the custom account and product,3h,3h 10m
Subtask,Done,Major,  Fix issue where product is not being saved with line item,1h,1h 8m
Subtask,Done,Major,  Use tax mappings to add tax line items,2h,1h
Subtask,Done,Major,  Use fee mappings to add fee line items,1h,19m
Subtask,Done,Major,  Add discounts,1h,3h 8m
Subtask,Done,Major,  Add WeOS tag,1h,17m
Subtask,Done,Major,  Add shipping lines,1h,1h 10m
Subtask,Done,Major,  Make sure sales receipt is working,1h,58m
Subtask,Done,Major,  Update Shopify API,1h,3h 16m
Subtask,Done,Major,  Update domain layer to create payments,2h,3h 19m
Subtask,Done,Major,  Update the verification controller in IAM to get the custom provider and fetch the keys from the key manager,1h 30m,1h 31m
Subtask,Done,Major,  remove code from the callback handler in IAM where the shopify provider is hardcoded,1h,1h
Subtask,Done,Major,  update the app url and callback url in custom shopify app to use the custom provider ID,30m,50m
Subtask,Done,Major,  Test on Dev,1h,7h
Subtask,Done,Major,  Hook up saving shipping discount and payment config,4h,4h
Subtask,Done,Major,  Add correct billing and shipping address to invoice,1h,49m
Subtask,Done,Major,  Make it so that an already syncd invoice is updated not created,1h,1h 20m
Subtask,Done,Major,  Handle refunds better,2h,3h 40m
Subtask,Done,Major,  Update shopify service to get payout details,1h,1h 7m
Subtask,Done,Major,  Create payouts import screen based on wireframe,2h,2h
Subtask,Done,Major,  Create entity for payout and thirdparty payout,1h,1h 30m
Subtask,Done,Major,  Call endpoint to get payout details and render tables,2h,2h 30m
Subtask,Done,Major,  Add method on account model to import payout,2h,2h 7m
Subtask,Done,Major,  Add function and button to perform import,30m,30m
Subtask,Done,Major,  Update the table component to have the right fields and render the data,2h,2h
Subtask,Done,Major,  Update Quickbooks service and SDK for creating deposit,1h,1h
Subtask,Done,Major,  Update import payout to create journal entries,2h,2h
Subtask,In Progress,Major,  Feedback 2,1d 30m,1d 1h
Subtask,Done,Major,  Errors syncing client orders,-,1h 18m
