Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Sub-task,MED-152,Done,Major,MED-15 -> update chat receiver to filter by tutor,15m,15m,0m,0m,30m,30m,15 minutes,15 minutes,-100,-100
Sub-task,MED-153,Done,Major,MED-15 -> Add a review tutor receiver,2h,2h,0m,0m,2h,2h,0 minutes,0 minutes,0,0
Sub-task,MED-154,Done,Major,MED-14 -> create a tutor service on the app,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-155,Done,Major,MED-14 -> update the app to send a request to the tutor endpoint on the tutor service,1h,1h,0m,0m,2h 26m,2h 26m,"1 hour, 26 minutes","1 hour, 26 minutes",-143,-143
Sub-task,MED-156,Done,Major,MED-15 -> update the app to send a request to the endpoint on the tutor service,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-157,Done,Major,MED-14 -> Setup query service,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-158,Done,Major,MED-15 -> set up review service,1h,1h,0m,0m,-,-,-,-,100,100
Sub-task,MED-161,Done,Major,MED-14 -> create an event handler for creating a chat,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-162,Done,Major,MED-14 -> create an event handler for creating a message,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,MED-163,Done,Major,MED-14 -> Add a tutor property to the prompt,1h,1h,0m,0m,20m,20m,40 minutes,40 minutes,66,66
Sub-task,MED-164,Done,Major,MED-14 -> update the app to add a menu to select the tutor when creating the prompt,1h,1h,0m,0m,15m,15m,45 minutes,45 minutes,75,75
Sub-task,MED-167,Done,Major,MED-15 -> update the app to make the tutor available when reviewing a question,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-174,Done,Major,MED-173 -> Add domain entity for user feedback,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-175,Done,Major,MED-173 -> Update handler to send email to admins when user feedback is added,1h,1h,0m,0m,1h 30m,1h 30m,30 minutes,30 minutes,-50,-50
Sub-task,MED-176,Done,Major,MED-173 -> Added receiver and endpoint for submitting feedback,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-177,Done,Major,MED-173 -> Show list of feedback in question view in admin,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-178,Done,Major,MED-173 -> Hook up feedback view to endpoint,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-180,Done,Major,MED-128 -> Hook up the explanations for write and incorrect answers,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-182,Done,Major,MED-127 -> Hook up block results,1h,1h,0m,0m,2h,2h,1 hour,1 hour,-100,-100
Sub-task,MED-184,Done,Major,MED-10 -> Setup product and entitlements in revenue cat,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-185,Done,Major,MED-10 -> Setup revenue cat SDK on iOS,1h,1h,0m,0m,6h,6h,5 hours,5 hours,-500,-500
Sub-task,MED-188,Done,Major,MED-10 -> Link Stripe to Revenue Cat,30m,30m,0m,0m,30m,30m,0 minutes,0 minutes,0,0
Sub-task,MED-190,Done,Major,MED-10 -> Hook up subscription purchase in UI,0m,0m,0m,0m,1h,1h,1 hour,1 hour,,
Sub-task,MED-192,Done,Major,MED-10 -> Hook up link to manage subscription on stripe if web purchase,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-197,Done,Major,MED-124 -> hook up updated list,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-198,Done,Major,MED-129 -> Hook up pause functionality to update block on back end,1h,1h,0m,0m,1h,1h,0 minutes,0 minutes,0,0
Sub-task,MED-202,Done,Major,MED-17 -> Feedback,-,-,0m,0m,1h,1h,,,,
Sub-task,MED-205,Done,Major,MED-6 -> Add logos for the app,20m,20m,0m,0m,-,-,-,-,100,100
Sub-task,MED-208,Done,Major,MED-16 -> Feedback,-,-,0m,0m,3h,3h,,,,
Sub-task,MED-215,Done,Major,MED-15 -> Feedback,-,-,0m,0m,2h,2h,,,,
Sub-task,MED-216,Done,Major,MED-210 -> add endpoint to get user,-,-,0m,0m,30m,30m,,,,
Sub-task,MED-218,In Progress,Major,MED-4 -> feedback,-,-,0m,0m,40m,40m,,,,
Sub-task,MED-223,Done,Major,MED-1 -> update callback handler to handle the apple login,-,-,0m,0m,2h,2h,,,,
Bug,MED-225,To Do,Major,Subscription not working,-,-,0m,0m,1h 30m,1h 30m,,,,
Bug,MED-228,Closed,Major,Topics Id default to learning objective id on import,-,-,0m,0m,45m,45m,,,,
